"id";"dht11_umidade";"dht11_temperatura";"luminosidade";"lm35_temperatura";"chave"
1;53.0;26.0;873.0;29.0;0
2;53.0;26.0;859.0;22.0;0
3;53.0;26.0;870.0;30.0;0
4;53.0;26.0;861.0;22.0;0
5;53.0;26.0;870.0;30.0;0
6;53.0;26.0;859.0;22.0;1
7;53.0;26.0;875.0;22.0;1
8;52.0;26.0;864.0;28.0;0
9;53.0;26.0;886.0;22.0;1
10;55.0;26.0;867.0;28.0;1
11;54.0;26.0;880.0;22.0;1
12;53.0;26.0;870.0;29.0;1
13;53.0;26.0;875.0;30.0;0
14;52.0;26.0;877.0;22.0;0
15;52.0;26.0;870.0;30.0;0
16;52.0;26.0;881.0;22.0;0
17;52.0;26.0;865.0;28.0;0
18;52.0;26.0;881.0;27.0;0
19;52.0;26.0;871.0;22.0;0
20;52.0;26.0;873.0;30.0;0
21;52.0;26.0;880.0;22.0;0
22;52.0;26.0;863.0;28.0;0
23;52.0;26.0;879.0;31.0;0
24;52.0;26.0;864.0;22.0;0
25;52.0;26.0;877.0;29.0;0
26;52.0;26.0;871.0;30.0;0
27;52.0;26.0;871.0;22.0;0
28;52.0;26.0;875.0;29.0;0
29;52.0;26.0;868.0;29.0;0
30;52.0;26.0;878.0;22.0;0
31;52.0;26.0;866.0;28.0;0
32;52.0;26.0;880.0;22.0;0
33;52.0;26.0;863.0;23.0;0
34;52.0;26.0;880.0;28.0;0
35;52.0;26.0;863.0;23.0;0
36;52.0;26.0;879.0;30.0;0
37;52.0;26.0;864.0;28.0;0
38;52.0;26.0;879.0;23.0;0
39;52.0;26.0;864.0;28.0;0
40;52.0;26.0;877.0;29.0;0
41;52.0;26.0;864.0;22.0;0
42;52.0;26.0;877.0;30.0;0
43;52.0;26.0;862.0;22.0;0
44;52.0;26.0;878.0;22.0;0
45;52.0;26.0;864.0;29.0;0
46;52.0;26.0;875.0;22.0;0
47;52.0;26.0;874.0;30.0;0
48;52.0;26.0;867.0;28.0;0
49;52.0;26.0;880.0;22.0;0
50;52.0;26.0;862.0;28.0;0
51;52.0;26.0;878.0;29.0;0
52;52.0;26.0;867.0;22.0;0
53;52.0;26.0;872.0;30.0;0
54;52.0;26.0;875.0;30.0;0
55;52.0;26.0;868.0;22.0;0
56;52.0;26.0;878.0;30.0;0
57;52.0;26.0;863.0;22.0;0
58;52.0;26.0;879.0;29.0;0
59;52.0;26.0;862.0;28.0;0
60;52.0;26.0;878.0;22.0;0
61;52.0;26.0;865.0;29.0;0
62;52.0;26.0;877.0;22.0;0
63;52.0;26.0;867.0;29.0;0
64;52.0;26.0;876.0;29.0;0
65;52.0;26.0;872.0;22.0;0
66;52.0;26.0;876.0;30.0;0
67;52.0;26.0;876.0;29.0;0
68;52.0;26.0;876.0;22.0;0
69;52.0;26.0;878.0;30.0;0
70;52.0;26.0;870.0;28.0;0
71;52.0;26.0;882.0;22.0;0
72;52.0;26.0;866.0;28.0;0
73;52.0;26.0;881.0;27.0;0
74;52.0;26.0;875.0;22.0;0
75;52.0;26.0;869.0;27.0;0
76;52.0;26.0;882.0;27.0;0
77;52.0;26.0;871.0;22.0;0
78;52.0;26.0;871.0;22.0;0
79;52.0;26.0;882.0;27.0;0
80;52.0;26.0;867.0;22.0;0
81;52.0;26.0;877.0;22.0;0
82;52.0;26.0;877.0;30.0;0
